Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/11/14,walking,walking,2014-09-11T12:03:44-07:00,2014-09-11T12:04:44-07:00,60,0.019,60,0
9/11/14,walking,walking,2014-09-11T12:16:13-07:00,2014-09-11T12:19:10-07:00,177,0.081,262,0
9/11/14,transport,transport,2014-09-11T12:19:09-07:00,2014-09-11T12:24:21-07:00,312,0.482,0,0
9/11/14,transport,transport,2014-09-11T12:34:21-07:00,2014-09-11T12:43:27-07:00,546,4.642,0,0
9/11/14,walking,walking,2014-09-11T12:43:40-07:00,2014-09-11T12:44:40-07:00,60,0.034,110,0
9/11/14,transport,transport,2014-09-11T12:47:35-07:00,2014-09-11T13:28:55-07:00,2480,5.528,0,0
9/11/14,walking,walking,2014-09-11T15:05:45-07:00,2014-09-11T15:15:58-07:00,613,0.475,666,0
9/11/14,walking,walking,2014-09-11T15:21:02-07:00,2014-09-11T15:21:32-07:00,30,0.009,30,0
9/11/14,walking,walking,2014-09-11T16:46:24-07:00,2014-09-11T16:55:08-07:00,524,0.206,663,0
9/11/14,walking,walking,2014-09-11T17:28:14-07:00,2014-09-11T17:30:08-07:00,114,0.075,240,0
9/11/14,walking,walking,2014-09-11T17:41:38-07:00,2014-09-11T17:50:25-07:00,527,0.426,914,0
9/11/14,transport,transport,2014-09-11T18:57:22-07:00,2014-09-11T19:02:30-07:00,308,0.300,0,0
9/11/14,walking,walking,2014-09-11T19:02:29-07:00,2014-09-11T19:07:30-07:00,301,0.153,301,0
9/11/14,walking,walking,2014-09-11T19:10:52-07:00,2014-09-11T19:21:21-07:00,629,0.376,992,0
9/11/14,walking,walking,2014-09-11T19:23:06-07:00,2014-09-11T19:24:06-07:00,60,0.031,101,0
9/11/14,walking,walking,2014-09-11T23:45:23-07:00,2014-09-11T23:45:32-07:00,9,0.004,12,0
9/12/14,walking,walking,2014-09-12T06:31:14-07:00,2014-09-12T06:31:19-07:00,5,0.002,6,0
9/12/14,walking,walking,2014-09-12T07:10:41-07:00,2014-09-12T07:11:16-07:00,35,0.011,36,0
9/12/14,walking,walking,2014-09-12T08:10:38-07:00,2014-09-12T08:12:31-07:00,113,0.043,140,0
9/12/14,transport,transport,2014-09-12T08:47:32-07:00,2014-09-12T08:54:32-07:00,420,1.788,0,0
9/12/14,walking,walking,2014-09-12T08:54:32-07:00,2014-09-12T08:57:37-07:00,185,0.099,320,0
9/12/14,walking,walking,2014-09-12T09:58:53-07:00,2014-09-12T09:59:23-07:00,30,0.016,50,0
9/12/14,walking,walking,2014-09-12T11:00:58-07:00,2014-09-12T11:03:19-07:00,141,0.107,230,0
9/12/14,transport,transport,2014-09-12T11:05:59-07:00,2014-09-12T11:15:06-07:00,547,1.757,0,0
9/12/14,walking,walking,2014-09-12T11:37:49-07:00,2014-09-12T11:38:19-07:00,30,0.011,33,0
9/12/14,walking,walking,2014-09-12T11:39:35-07:00,2014-09-12T11:53:01-07:00,806,0.326,752,0
9/12/14,walking,walking,2014-09-12T11:53:23-07:00,2014-09-12T11:53:25-07:00,2,0.001,2,0
9/12/14,walking,walking,2014-09-12T12:49:54-07:00,2014-09-12T13:06:02-07:00,968,0.667,1267,0
9/12/14,walking,walking,2014-09-12T13:13:59-07:00,2014-09-12T13:14:59-07:00,60,0.022,70,0
9/12/14,transport,transport,2014-09-12T13:18:42-07:00,2014-09-12T13:40:18-07:00,1296,4.758,0,0
9/12/14,walking,walking,2014-09-12T13:40:19-07:00,2014-09-12T13:46:17-07:00,358,0.120,386,0
9/12/14,transport,transport,2014-09-12T13:46:17-07:00,2014-09-12T14:54:43-07:00,4106,64.924,0,0
9/12/14,walking,walking,2014-09-12T14:54:42-07:00,2014-09-12T14:57:11-07:00,149,0.056,150,0
9/12/14,transport,transport,2014-09-12T14:57:11-07:00,2014-09-12T17:08:28-07:00,7877,132.013,0,0
9/12/14,walking,walking,2014-09-12T17:08:27-07:00,2014-09-12T17:13:07-07:00,280,0.087,150,0
9/12/14,transport,transport,2014-09-12T17:13:07-07:00,2014-09-12T18:26:07-07:00,4380,77.159,0,0
9/12/14,walking,walking,2014-09-12T18:30:22-07:00,2014-09-12T18:34:05-07:00,223,0.140,299,0
9/12/14,transport,transport,2014-09-12T18:44:01-07:00,2014-09-12T19:07:02-07:00,1381,9.221,0,0
9/12/14,walking,walking,2014-09-12T19:07:02-07:00,2014-09-12T19:09:35-07:00,153,0.101,153,0
9/12/14,walking,walking,2014-09-12T20:01:26-07:00,2014-09-12T20:11:08-07:00,582,0.286,615,0
9/12/14,transport,transport,2014-09-12T20:12:02-07:00,2014-09-12T20:12:33-07:00,31,0.268,0,0
9/12/14,walking,walking,2014-09-12T20:54:23-07:00,2014-09-12T20:54:53-07:00,30,0.016,50,0
9/12/14,walking,walking,2014-09-12T21:13:49-07:00,2014-09-12T21:24:54-07:00,665,0.495,1063,0
9/12/14,transport,transport,2014-09-12T21:39:28-07:00,2014-09-12T21:48:17-07:00,529,8.937,0,0
9/12/14,walking,walking,2014-09-12T21:52:38-07:00,2014-09-12T21:53:08-07:00,30,0.012,40,0
9/12/14,transport,transport,2014-09-12T21:59:45-07:00,2014-09-13T00:00:00-07:00,7215,0.532,0,0
9/13/14,transport,transport,2014-09-13T00:00:00-07:00,2014-09-13T10:56:12-07:00,39372,2.902,0,0
9/13/14,walking,walking,2014-09-13T10:56:12-07:00,2014-09-13T11:06:15-07:00,603,0.267,781,0
9/13/14,walking,walking,2014-09-13T11:15:21-07:00,2014-09-13T11:21:19-07:00,358,0.167,354,0
9/13/14,walking,walking,2014-09-13T12:57:28-07:00,2014-09-13T12:58:31-07:00,63,0.030,95,0
9/13/14,walking,walking,2014-09-13T13:03:38-07:00,2014-09-13T13:05:59-07:00,141,0.093,200,0
9/13/14,walking,walking,2014-09-13T15:38:58-07:00,2014-09-13T15:39:28-07:00,30,0.009,30,0
9/13/14,walking,walking,2014-09-13T16:10:36-07:00,2014-09-13T16:11:29-07:00,53,0.025,80,0
9/13/14,walking,walking,2014-09-13T17:20:55-07:00,2014-09-13T17:21:47-07:00,52,0.022,70,0
9/13/14,walking,walking,2014-09-13T17:25:16-07:00,2014-09-13T17:32:49-07:00,453,0.331,559,0
9/13/14,transport,transport,2014-09-13T17:32:49-07:00,2014-09-13T17:49:17-07:00,988,5.297,0,0
9/13/14,walking,walking,2014-09-13T17:50:23-07:00,2014-09-13T17:51:23-07:00,60,0.023,74,0
9/13/14,transport,transport,2014-09-13T20:16:24-07:00,2014-09-13T20:36:02-07:00,1178,10.243,0,0
9/13/14,walking,walking,2014-09-13T20:36:15-07:00,2014-09-13T20:37:52-07:00,97,0.044,142,0
9/13/14,walking,walking,2014-09-13T20:38:40-07:00,2014-09-13T20:42:10-07:00,210,0.157,171,0
9/13/14,walking,walking,2014-09-13T20:42:44-07:00,2014-09-13T20:46:13-07:00,209,0.106,226,0
9/13/14,walking,walking,2014-09-13T21:34:46-07:00,2014-09-13T21:35:16-07:00,30,0.009,15,0
9/13/14,walking,walking,2014-09-13T23:10:27-07:00,2014-09-13T23:19:18-07:00,531,0.278,596,0
9/13/14,transport,transport,2014-09-13T23:38:56-07:00,2014-09-13T23:55:26-07:00,990,9.394,0,0
9/14/14,walking,walking,2014-09-14T09:54:47-07:00,2014-09-14T09:55:17-07:00,30,0.016,50,0
9/14/14,walking,walking,2014-09-14T10:06:54-07:00,2014-09-14T10:07:54-07:00,60,0.031,101,0
9/14/14,transport,transport,2014-09-14T10:12:39-07:00,2014-09-14T15:13:05-07:00,18026,298.394,0,0
9/14/14,walking,walking,2014-09-14T16:35:09-07:00,2014-09-14T16:36:09-07:00,60,0.028,91,0
9/14/14,walking,walking,2014-09-14T17:27:22-07:00,2014-09-14T17:30:56-07:00,214,0.110,236,0
9/14/14,walking,walking,2014-09-14T19:10:44-07:00,2014-09-14T19:14:59-07:00,255,0.155,332,0
9/14/14,walking,walking,2014-09-14T20:55:14-07:00,2014-09-14T20:56:14-07:00,60,0.034,111,0
9/14/14,walking,walking,2014-09-14T21:23:39-07:00,2014-09-14T21:24:09-07:00,30,0.016,50,0
9/14/14,walking,walking,2014-09-14T22:42:42-07:00,2014-09-14T22:43:12-07:00,30,0.009,30,0
