Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/18/14,walking,walking,2014-09-18T06:45:52-07:00,2014-09-18T06:46:10-07:00,18,0.008,25,0
9/18/14,walking,walking,2014-09-18T07:01:20-07:00,2014-09-18T07:02:04-07:00,44,0.018,58,0
9/18/14,transport,transport,2014-09-18T07:57:15-07:00,2014-09-18T08:05:22-07:00,487,1.657,0,0
9/18/14,walking,walking,2014-09-18T08:05:22-07:00,2014-09-18T08:09:16-07:00,234,0.110,353,0
9/18/14,walking,walking,2014-09-18T09:00:32-07:00,2014-09-18T09:01:34-07:00,62,0.027,88,0
9/18/14,walking,walking,2014-09-18T11:29:26-07:00,2014-09-18T11:29:56-07:00,30,0.009,30,0
9/18/14,walking,walking,2014-09-18T11:46:01-07:00,2014-09-18T12:01:11-07:00,910,0.554,1609,0
9/18/14,walking,walking,2014-09-18T12:39:35-07:00,2014-09-18T12:56:48-07:00,1033,0.704,1811,0
9/18/14,walking,walking,2014-09-18T14:01:53-07:00,2014-09-18T14:03:23-07:00,90,0.035,113,0
9/18/14,walking,walking,2014-09-18T14:48:05-07:00,2014-09-18T14:51:02-07:00,177,0.064,177,0
9/18/14,transport,transport,2014-09-18T14:51:02-07:00,2014-09-18T14:59:14-07:00,492,1.688,0,0
9/18/14,walking,walking,2014-09-18T15:13:28-07:00,2014-09-18T15:23:51-07:00,623,0.464,585,0
9/18/14,walking,walking,2014-09-18T16:44:43-07:00,2014-09-18T16:56:15-07:00,692,0.244,747,0
9/18/14,walking,walking,2014-09-18T17:32:25-07:00,2014-09-18T17:39:23-07:00,418,0.337,725,0
9/18/14,transport,transport,2014-09-18T18:10:19-07:00,2014-09-18T18:14:39-07:00,260,0.242,0,0
9/18/14,walking,walking,2014-09-18T18:38:05-07:00,2014-09-18T18:38:06-07:00,1,0.001,3,0
9/18/14,walking,walking,2014-09-18T18:38:57-07:00,2014-09-18T18:48:47-07:00,590,0.389,590,0
9/18/14,walking,walking,2014-09-18T18:52:31-07:00,2014-09-18T18:52:54-07:00,23,0.007,23,0
9/18/14,transport,transport,2014-09-18T18:52:54-07:00,2014-09-18T19:35:35-07:00,2561,4.463,0,0
9/18/14,walking,walking,2014-09-18T19:37:10-07:00,2014-09-18T19:37:40-07:00,30,0.009,20,0
9/18/14,walking,walking,2014-09-18T21:00:57-07:00,2014-09-18T21:01:57-07:00,60,0.019,50,0
9/18/14,walking,walking,2014-09-18T22:08:16-07:00,2014-09-18T22:09:16-07:00,60,0.019,45,0
9/18/14,walking,walking,2014-09-18T23:09:19-07:00,2014-09-18T23:10:19-07:00,60,0.019,50,0
